"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,61,7,191,0.319371727748691,0.0366492146596859,3.585,2007
"2",2,61,7,191,0.319371727748691,0.0366492146596859,3.81769230769231,2008
"3",3,61,7,191,0.319371727748691,0.0366492146596859,3.653,2009
"4",4,61,7,191,0.319371727748691,0.0366492146596859,3.58933333333333,2010
