"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,13,0,35,0.371428571428571,0,3.85333333333333,2007
"2",2,13,0,35,0.371428571428571,0,3.14,2008
"3",3,13,0,35,0.371428571428571,0,3.86,2009
"4",4,13,0,35,0.371428571428571,0,3.67666666666667,2010
