"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,7,0,27,0.259259259259259,0,3.625,2007
"2",2,7,0,27,0.259259259259259,0,NA,2008
"3",3,7,0,27,0.259259259259259,0,3.795,2009
"4",4,7,0,27,0.259259259259259,0,3.71,2010
