"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,31,3,77,0.402597402597403,0.0389610389610390,3.47,2007
"2",2,31,3,77,0.402597402597403,0.0389610389610390,3.706,2008
"3",3,31,3,77,0.402597402597403,0.0389610389610390,3.85833333333333,2009
"4",4,31,3,77,0.402597402597403,0.0389610389610390,3.28333333333333,2010
