"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,11,3,46,0.239130434782609,0.0652173913043478,3.89,2007
"2",2,11,3,46,0.239130434782609,0.0652173913043478,NA,2008
"3",3,11,3,46,0.239130434782609,0.0652173913043478,NA,2009
"4",4,11,3,46,0.239130434782609,0.0652173913043478,3.7925,2010
