"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,21,2,71,0.295774647887324,0.0281690140845070,3.91,2007
"2",2,21,2,71,0.295774647887324,0.0281690140845070,3.79,2008
"3",3,21,2,71,0.295774647887324,0.0281690140845070,3.7675,2009
"4",4,21,2,71,0.295774647887324,0.0281690140845070,3.578,2010
