"","item","Applications","Enrolled","Inquiries","applyPercent","enrollPercent","gpa","years"
"1",1,59,1,146,0.404109589041096,0.00684931506849315,3.574,2007
"2",2,59,1,146,0.404109589041096,0.00684931506849315,3.70153846153846,2008
"3",3,59,1,146,0.404109589041096,0.00684931506849315,3.53909090909091,2009
"4",4,59,1,146,0.404109589041096,0.00684931506849315,3.33909090909091,2010
